total_amount,loan_lenght,month_pay,debt_income_ratio,month_income,fico_score,open_credit_lines,tot_credit_lines,rev_credit_bal,inquiries_6_month,del_last_2yrs,public_records,employ_length,status,home_any,home_mortage,home_none,home_own,home_rent
8000,36,242.62,26.54,7453.33,770.0,21.0,45.0,31533.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
7800,36,242.67,7.32,2500.0,770.0,4.0,7.0,2602.0,0.0,0.0,0.0,3.0,0,0,0,0,0,1
7800,36,242.67,14.32,4000.0,732.0,11.0,29.0,23499.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0
10550,60,242.7,5.75,10666.67,732.0,7.0,16.0,83171.0,1.0,0.0,0.0,10.0,0,0,1,0,0,0
7500,36,242.71,11.99,6579.58,732.0,17.0,35.0,42703.0,3.0,0.0,0.0,9.0,1,0,1,0,0,0
9000,60,242.73,5.54,5000.0,669.0,4.0,12.0,6534.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
12000,60,242.75,12.55,4166.67,770.0,6.0,14.0,20546.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
12000,60,242.75,1.88,6666.67,790.0,6.0,20.0,3364.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0
12000,60,242.75,9.69,4333.33,790.0,8.0,23.0,5186.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
12000,60,242.75,9.48,3333.33,770.0,9.0,21.0,9595.0,0.0,0.0,0.0,5.0,0,0,1,0,0,0
12000,60,242.75,8.09,8500.0,790.0,9.0,22.0,2875.0,0.0,0.0,0.0,6.0,0,0,1,0,0,0
12000,60,242.75,1.51,6500.0,790.0,12.0,39.0,2461.0,0.0,0.0,0.0,3.0,0,0,1,0,0,0
12000,60,242.75,21.0,3333.33,770.0,17.0,29.0,8384.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
10500,60,242.8,9.67,7200.0,732.0,5.0,13.0,6755.0,1.0,0.0,0.0,5.0,0,0,1,0,0,0
7200,36,242.81,7.43,4160.0,669.0,5.0,7.0,5455.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
7500,36,242.89,8.0,3500.0,732.0,5.0,13.0,8589.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
7500,36,242.89,3.52,5083.33,770.0,6.0,8.0,639.0,3.0,0.0,0.0,3.0,0,0,1,0,0,0
7500,36,242.89,7.36,6750.0,790.0,7.0,19.0,1386.0,1.0,0.0,0.0,5.0,0,0,0,0,0,1
7500,36,242.89,14.83,4200.0,732.0,8.0,10.0,7396.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1
7500,36,242.89,8.06,7083.33,732.0,11.0,31.0,9720.0,1.0,0.0,0.0,2.0,0,0,1,0,0,0
7500,36,242.89,11.62,5000.0,732.0,13.0,22.0,5419.0,2.0,0.0,0.0,1.0,1,0,0,0,0,1
7500,36,242.89,15.47,4750.0,732.0,17.0,37.0,9258.0,3.0,0.0,0.0,5.0,0,0,1,0,0,0
10000,60,242.92,15.8,4416.67,695.0,5.0,12.0,7659.0,2.0,0.0,0.0,10.0,0,0,0,0,0,1
10000,60,242.92,7.17,6500.0,732.0,6.0,14.0,5525.0,6.0,0.0,0.0,4.0,0,0,1,0,0,0
10000,60,242.92,14.41,3200.0,695.0,7.0,24.0,7957.0,1.0,0.0,0.0,10.0,1,0,1,0,0,0
10000,60,242.92,13.51,5833.0,669.0,8.0,17.0,6694.0,0.0,0.0,0.0,2.0,0,0,0,0,1,0
10000,60,242.92,5.61,9750.0,669.0,8.0,21.0,2869.0,2.0,0.0,0.0,4.0,0,0,1,0,0,0
10000,60,242.92,10.28,4300.0,695.0,9.0,25.0,17453.0,3.0,0.0,1.0,10.0,0,0,1,0,0,0
10000,60,242.92,15.31,4166.67,695.0,9.0,12.0,2055.0,3.0,0.0,0.0,3.0,0,0,1,0,0,0
10000,60,242.92,2.72,4662.0,695.0,9.0,23.0,1122.0,4.0,0.0,0.0,10.0,0,0,0,0,0,1
10000,60,242.92,18.55,5950.0,732.0,10.0,43.0,26078.0,6.0,0.0,0.0,2.0,0,0,1,0,0,0
10000,60,242.92,17.82,5000.0,695.0,10.0,22.0,7218.0,1.0,0.0,0.0,10.0,0,0,1,0,0,0
10000,60,242.92,17.4,3333.33,695.0,12.0,22.0,7570.0,2.0,0.0,0.0,10.0,0,0,0,0,0,1
10000,60,242.92,24.65,8333.33,695.0,13.0,26.0,42470.0,2.0,0.0,0.0,10.0,0,0,1,0,0,0
10000,60,242.92,22.16,3750.0,669.0,15.0,45.0,34333.0,2.0,0.0,0.0,0.0,1,0,1,0,0,0
7200,36,242.97,9.68,2426.67,695.0,4.0,10.0,6659.0,0.0,0.0,1.0,6.0,0,0,0,0,0,1
10000,60,242.97,22.83,2426.67,695.0,11.0,31.0,16158.0,1.0,0.0,0.0,2.0,0,0,0,0,0,1
10000,60,242.97,18.84,4708.0,695.0,11.0,26.0,14848.0,2.0,0.0,0.0,1.0,0,0,0,0,0,1
10000,60,242.97,7.01,9583.0,695.0,19.0,32.0,6640.0,1.0,2.0,0.0,1.0,0,0,1,0,0,0
7000,36,243.11,25.08,9000.0,695.0,12.0,49.0,7384.0,9.0,0.0,0.0,6.0,1,0,1,0,0,0
7350,36,243.11,22.51,2750.0,695.0,13.0,23.0,24782.0,1.0,0.0,0.0,1.0,0,0,0,0,0,1
7000,36,243.11,18.91,3833.0,650.0,13.0,23.0,12634.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0
7000,36,243.11,5.93,8500.0,650.0,18.0,18.0,16914.0,3.0,0.0,0.0,10.0,0,0,0,0,0,1
10000,60,243.13,17.77,7833.33,695.0,9.0,34.0,83589.0,1.0,0.0,0.0,5.0,0,0,1,0,0,0
10000,60,243.13,10.32,8750.0,695.0,10.0,15.0,18672.0,2.0,0.0,0.0,4.0,0,0,0,0,0,1
10000,60,243.13,24.39,4125.0,695.0,13.0,26.0,19096.0,2.0,0.0,0.0,10.0,0,0,1,0,0,0
11250,60,243.21,18.06,4666.67,770.0,7.0,23.0,2464.0,0.0,0.0,0.0,5.0,1,0,1,0,0,0
11350,60,243.23,8.56,5500.0,732.0,6.0,35.0,17848.0,0.0,0.0,0.0,10.0,0,0,1,0,0,0
10000,60,243.29,23.94,3583.33,695.0,3.0,14.0,3027.0,1.0,1.0,0.0,10.0,0,0,0,0,0,1
10000,60,243.29,16.2,4000.0,695.0,7.0,10.0,5301.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
10000,60,243.29,7.55,3166.67,695.0,9.0,10.0,5888.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1
7500,36,243.31,12.71,1833.0,732.0,2.0,4.0,367.0,0.0,0.0,0.0,4.0,0,0,0,0,0,1
8000,36,243.34,14.53,3166.67,770.0,5.0,18.0,12490.0,0.0,0.0,0.0,10.0,0,0,0,0,0,1
8000,36,243.34,6.9,2666.67,770.0,5.0,21.0,6844.0,0.0,0.0,0.0,4.986808401639344,0,0,1,0,0,0
8000,36,243.34,0.55,7333.33,770.0,5.0,8.0,1014.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0
